full_name,Country,National_party,political_group,role
José María RUIZ-MATEOS JIMÉNEZ DE TEJADA,Spain,Agrupación de Electores José María Ruiz-Mateos,Group of the European Democratic Alliance,Member
Mariano RUMOR,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Chair
Pirjo RUSANEN,Finland,Kansallinen Kokoomus,Group of the European People's Party (Christian-Democratic Group),Substitute
Flaviu Călin RUS,Romania,Partidul Democrat-Liberal,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Francesco RUTELLI,Italy,I Democratici,"Group of the European Liberal, Democrat and Reform Party",Substitute
Krzysztof RUTKOWSKI,Poland,Partia Ludowo-Demokratyczna,Non-attached,Member
Leopold Józef RUTOWICZ,Poland,Samoobrona RP,Union for Europe of the Nations Group,Member
Eoin RYAN,Ireland,Fianna Fáil Party,Union for Europe of the Nations Group,Member
Mirja RYYNÄNEN,Finland,Suomen Keskusta,"Group of the European Liberal, Democrat and Reform Party",Substitute
Luis SA',Portugal,Partido Comunista Português,Confederal Group of the European United Left,Substitute
Bengt-Ola RYTTAR,Sweden,Socialdemokraterna,Group of the Party of European Socialists,Substitute
Victor SABLÉ,France,Union pour la France en Europe,Liberal and Democratic Group,Member
Lennart SACRÉDEUS,Sweden,Kristdemokraterna,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
André SAINJON,France,sans étiquette,Group of the European Radical Alliance,Vice-Chair
Guido SACCONI,Italy,Democratici di Sinistra,Socialist Group in the European Parliament,Chair
Dominique SAINT-PIERRE,France,Mouvement des Radicaux de Gauche,Group of the European Radical Alliance,Substitute
Jean SAINT-JOSSE,France,"Chasse, Pêche, Nature, Traditions",Group for a Europe of Democracies and Diversities,Substitute
Katrin SAKS,Estonia,Sotsiaaldemokraatlik Erakond,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Aloyzas SAKALAS,Lithuania,Lietuvos socialdemokratų partija,Socialist Group in the European Parliament,Member
Jannis SAKELLARIOU,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Substitute
Margarida SALEMA O. MARTINS,Portugal,Partido Social Democrata,Liberal and Democratic Reformist Group,Substitute
María Isabel SALINAS GARCÍA,Spain,Partido Socialista Obrero Español,Socialist Group in the European Parliament,Substitute
Heinke SALISCH,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Substitute
Detlev SAMLAND,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Substitute
Antonis SAMARAS,Greece,Nea Dimokratia,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Felipe SANCHEZ-CUENCA MARTINEZ,Spain,Partido Socialista Obrero Español,Socialist Group,Member
Anders SAMUELSEN,Denmark,Det Radikale Venstre,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Isidoro SÁNCHEZ GARCÍA,Spain,Coalición Nacionalista - Coalición Canaria,"Group of the European Liberal, Democrat and Reform Party",Member
Yvonne SANDBERG-FRIES,Sweden,Socialdemokraterna,Group of the Party of European Socialists,Member
Ulla Margrethe SANDBÆK,Denmark,Folkebevægelsen mod EF,Group for a Europe of Democracies and Diversities,Substitute
Maria Johanna (Marieke) SANDERS-TEN HOLTE,Netherlands,Volkspartij voor Vrijheid en Democratie,"Group of the European Liberal, Democrat and Reform Party",Substitute
Pedro Miguel de SANTANA LOPES,Portugal,Partido Social Democrata,Liberal and Democratic Reformist Group,Vice-Chair
Michele SANTORO,Italy,Indipendente,Socialist Group in the European Parliament,Substitute
Diego de los SANTOS LÓPEZ,Spain,Partido Andalucista,Rainbow Group in the European Parliament,Member
Maria Amélia SANTOS,Portugal,Coligação Democrática Unitária: Verdes (VERDES),Group of the Party of European Socialists,Substitute
Manuel dos SANTOS MACHADO,Portugal,Partido do Centro Democrático Social,Group of the European People's Party (Christian-Democratic Group),Substitute
Sebastiano SANZARELLO,Italy,Unione dei Democratici cristiani e dei Democratici di Centro,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Francisco Javier SANZ FERNÁNDEZ,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Member
Salvador Domingo SANZ PALACIO,Spain,Partido Popular,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Georgios SARIDAKIS,Greece,Nea Dimokratia,Group of the European People's Party (Christian-Democratic Group),Vice-Chair
Nicolas SARKOZY,France,Rassemblement pour la République,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Georges SARRE,France,Parti socialiste,Socialist Group,Member
Francisca SAUQUILLO PÉREZ DEL ARCO,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Member
Gilles SAVARY,France,Parti socialiste,Socialist Group in the European Parliament,Vice-Chair
Toomas SAVI,Estonia,Eesti Reformierakond,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Casimir J. Prinz zu SAYN-WITTGENSTEIN-BERLEBURG,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Gabriele SBOARINA,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Substitute
Luciana SBARBATI,Italy,Partito repubblicano italiano,Group of the Alliance of Liberals and Democrats for Europe,Member
Dana Rosemary SCALLON,Ireland,Independent,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Michel-Ange SCARBONCHI,France,Parti radical socialiste,Confederal Group of the European United Left/Nordic Green Left,Substitute
Anne-Marie SCHAFFNER,France,Rassemblement pour la République,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Axel SCHÄFER,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Member
Wolfgang SCHALL,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Pierre SCHAPIRA,France,Parti socialiste,Socialist Group in the European Parliament,Substitute
Karin SCHEELE,Austria,Sozialdemokratische Partei Österreichs,Socialist Group in the European Parliament,Member
Lydia SCHENARDI,France,Front national,Non-attached Members,Member
Edgar Josef SCHIEDERMEIER,Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian-Democratic Group),Substitute
Rudolf F. SCHIELER,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Member
Luciano SCHIFONE,Italy,Alleanza nazionale,Non-attached,Substitute
Agnes SCHIERHUBER,Austria,Österreichische Volkspartei,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Margaritis SCHINAS,Greece,Nea Dimokratia,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Dieter P.A. SCHINZEL,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Member
Marcel SCHLECHTER,Luxembourg,Parti ouvrier socialiste luxembourgeois,Group of the Party of European Socialists,Substitute
Emil SCHLEE,Germany,Die Republikaner,Non-attached,Member
Ursula SCHLEICHER,Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian Democrats) and European Democrats,Vice-Chair
Poul SCHLÜTER,Denmark,Det Konservative Folkeparti,Group of the European People's Party (Christian-Democratic Group),Substitute
Gerhard SCHMID,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Member
Herman SCHMID,Sweden,Vänsterpartiet,Confederal Group of the European United Left/Nordic Green Left,Member
Barbara SCHMIDBAUER,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Member
Frithjof SCHMIDT,Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,Vice-Chair
Ingo SCHMITT,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Paul SCHNITKER,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Member
Konrad SCHÖN,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Chair
Karl SCHÖN,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Member
Franz SCHÖNHUBER,Germany,Die Republikaner,Non-attached,Member
Inger SCHÖRLING,Sweden,Miljöpartiet,Group of the Greens/European Free Alliance,Substitute
Pierre SCHORI,Sweden,Socialdemokratiska arbetarepartiet,Group of the Party of European Socialists,Substitute
Heinz SCHREIBER,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Substitute
Ilka SCHRÖDER,Germany,Bündnis 90/die Grünen,Confederal Group of the European United Left/Nordic Green Left,Substitute
Erich SCHREINER,Austria,Freiheitliche Partei Österreichs,Non-attached,Substitute
Jürgen SCHRÖDER,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Willem SCHUTH,Germany,Freie Demokratische Partei - Die Liberalen,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Konrad K. SCHWAIGER,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Roger-Gérard SCHWARTZENBERG,France,Mouvement des Radicaux de Gauche,Socialist Group,Member
Karl SCHWEITZER,Austria,Freiheitliche Partei Österreichs,Non-attached,Member
Olaf SCHWENCKE,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Vice-Chair
Christiane SCRIVENER,France,Union pour la France en Europe,Liberal and Democratic Reformist Group,Substitute
Carlo SECCHI,Italy,Partito popolare italiano,Group of the European People's Party (Christian-Democratic Group),Substitute
Romanas Algimantas SEDLICKAS,Lithuania,Liberalų ir Centro Sajunga,"Group of the European Liberal, Democrat and Reform Party",
Barry H. SEAL,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
Horst SEEFELD,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Member
Gitte SEEBERG,Denmark,Det Konservative Folkeparti,Group of the European People's Party (Christian Democrats) and European Democrats,Substitute
Hans-Joachim SEELER,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Member
Mariotto SEGNI,Italy,Patto Segni,Union for Europe of the Nations Group,Substitute
Luděk SEFZIG,Czechia,Občanská demokratická strana,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Inger SEGELSTRÖM,Sweden,Arbetarepartiet- Socialdemokraterna,Socialist Group in the European Parliament,Substitute
Lieselotte SEIBEL-EMMERLING,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Vice-Chair
António José SEGURO,Portugal,Partido Socialista,Group of the Party of European Socialists,Substitute
Françoise SEILLIER,France,Majorité pour l'autre Europe,Group of Independents for a Europe of Nations,Member
Madron Richard SELIGMAN,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Substitute
Jean SEITLINGER,France,Union pour la France en Europe,Group of the European People's Party (Christian-Democratic Group),Member
Gustavo SELVA,Italy,Democrazia cristiana,Group of the European People's Party (Christian-Democratic Group),Substitute
Gheorghe Vergil ȘERBU,Romania,Partidul Naţional Liberal,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Esko SEPPÄNEN,Finland,Vasemmistoliitto,Confederal Group of the European United Left - Nordic Green Left,Substitute
Jozef ŠEVC,Slovakia,Komunistická strana Slovenska,Confederal Group of the European United Left/Nordic Green Left,Member
Alexander SHERLOCK,United Kingdom,Conservative and Unionist Party,European Democratic Group,Member
Vittorio SGARBI,Italy,Forza Italia,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Lydia SHOULEVA,Bulgaria,National Movement Simeon II,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Hellmut SIEGLERSCHMIDT,Germany,Sozialdemokratische Partei Deutschlands,Socialist Group,Member
Mateo SIERRA BARDAJÍ,Spain,Partido Socialista Obrero Español,Group of the Party of European Socialists,Member
Peter SICHROVSKY,Austria,Freiheitliche Partei Österreichs,Non-attached,Substitute
Angela del Carmen SIERRA GONZÁLEZ,Spain,Izquierda Unida,Confederal Group of the European United Left/Nordic Green Left,Member
Nikolaos SIFUNAKIS,Greece,Panellinio Socialistiko Kinima,Socialist Group in the European Parliament,Chair
Eva-Riitta SIITONEN,Finland,Kansallinen Kokoomus,Group of the European People's Party (Christian Democrats) and European Democrats,Member
José SILVA DOMINGOS,Portugal,Partido Social Democrata,Liberal and Democratic Reformist Group,Member
Ovidiu Ioan SILAGHI,Romania,Partidul Naţional Liberal,Group of the Alliance of Liberals and Democrats for Europe,Member
José Albino SILVA PENEDA,Portugal,Coligaçao Força Portugal (PPD/PSD.CDS-PP),Group of the European People's Party (Christian Democrats) and European Democrats,Member
Max SIMEONI,France,"Verts ""Europe des peuples - Per un avvene corsu - Avenir corse""",Rainbow Group in the European Parliament,Vice-Chair
Richard J. SIMMONDS,United Kingdom,Conservative and Unionist Party,Group of the European People's Party (Christian-Democratic Group),Substitute
