full_name,Country,National_party,political_group,role
Jacques TAURAN,France,Front national,Technical Group of the European Right,Member
Wilfried TELKÄMPER,Germany,Bündnis 90/die Grünen,The Green Group in the European Parliament,Substitute
Bernard THAREAU,France,Parti socialiste,Group of the Party of European Socialists,Member
Yvonne THÉOBALD-PAOLI,France,Parti socialiste,Socialist Group,Member
Luisa TODINI,Italy,Forza Italia,Group of the European People's Party (Christian-Democratic Group),Substitute
Claus TOKSVIG,Denmark,Det konservative folkeparti,European Democratic Group,Member
Teun TOLMAN,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian-Democratic Group),Substitute
Enzo TORTORA,Italy,Partito radicale,Non-attached,Member
Raymond TOURRAIN,France,Rassemblement pour la République,Group of the European Democratic Alliance,Member
Bruno TRENTIN,Italy,Democratici di Sinistra,Group of the Party of European Socialists,Substitute
Alberto TRIDENTE,Italy,Democrazia proletaria,"Rainbow Group: Federation of the Green-Alternative European Links, Agelev-Ecolo, the Danish People's Movement against Membership of the European Community and the European Free Alliance in the European Parliament",Member
Renzo TRIVELLI,Italy,Partito comunista italiano,Group of the Party of European Socialists,Substitute
Antonino TRIPODI,Italy,Movimento sociale italiano - Destra nazionale,Group of the European Right,Member
Osvalda TRUPIA,Italy,Partito comunista italiano,Communist and Allies Group,Member
Dimitris TSATSOS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Substitute
Konstantinos TSIMAS,Greece,Panellinio Socialistiko Kinima,Group of the Party of European Socialists,Vice-Chair
André TURCAT,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Jakob von UEXKÜLL,Germany,Bündnis 90/die Grünen,"Rainbow Group: Federation of the Green-Alternative European Links, Agelev-Ecolo, the Danish People's Movement against Membership of the European Community and the European Free Alliance in the European Parliament",Member
Jef L.E. ULBURGHS,Belgium,Socialistische Partij,Non-attached,Member
Maurizio VALENZI,Italy,Partito comunista italiano,Communist and Allies Group,Member
Jaak H.-A. VANDEMEULEBROUCKE,Belgium,Volksunie,Group of the European Radical Alliance,Substitute
Marcel Albert VANDEWIELE,Belgium,Christelijke Volkspartij (Europese Volkspartij),Group of the European People's Party (Christian-Democratic Group),Member
Lode J.C. VAN OUTRIVE,Belgium,Socialistische Partij,Group of the Party of European Socialists,Member
Helena M. VAZ DA SILVA,Portugal,Partido Social Democrata,Group of the European People's Party (Christian-Democratic Group),Substitute
Herman A. VERBEEK,Netherlands,Politieke Partij Radikalen,The Green Group in the European Parliament,Vice-Chair
Willem J. VERGEER,Netherlands,Christen Democratisch Appèl,Group of the European People's Party (Christian-Democratic Group),Substitute
Joris B. VERHAEGEN,Belgium,Christelijke Volkspartij (Europese Volkspartij),Group of the European People's Party (Christian-Democratic Group),Member
Luigi VERTEMATI,Italy,Partito socialista italiano,Group of the Party of European Socialists,Member
Guido VICECONTE,Italy,Forza Italia,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Daniel J.E. VIÉ,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Nikolaos VGENOPOULOS,Greece,Panellinio Socialistiko Kinima,Socialist Group,Substitute
Silvio VITALE,Italy,Movimento sociale italiano - Destra nazionale,Group of the European Right,Member
Kurt VITTINGHOFF,Germany,Sozialdemokratische Partei Deutschlands,Group of the Party of European Socialists,Member
Leen VAN DER WAAL,Netherlands,Staatkundig Gereformeerde Partij,Group of Independents for a Europe of Nations,Member
Hanna WALZ,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Chair
Kurt WAWRZIK,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Substitute
Rüdiger von WECHMAR,Germany,Freie Demokratische Partei,Liberal and Democratic Reformist Group,Member
Louise WEISS,France,Défence des intérêts de la France en Europe,Group of European Progressive Democrats,Member
Norman WEST,United Kingdom,Labour Party,Group of the Party of European Socialists,Substitute
Claude WOLFF,France,Union pour la démocratie française,Liberal and Democratic Reformist Group,Substitute
Matti WUORI,Finland,-,Group of the Greens/European Free Alliance,Substitute
Axel N. ZARGES,Germany,Christlich Demokratische Union Deutschlands,Group of the European People's Party (Christian-Democratic Group),Substitute
Adrien G.H. ZELLER,France,Centre des démocrates sociaux,Group of the European People's Party (Christian-Democratic Group),Substitute
Marianne THYSSEN,Belgium,Christelijke Volkspartij,Group of the European People's Party (Christian Democrats),Vice-Chair
Willy MEYER,Spain,Izquierda Unida,Confederal Group of the European United Left - Nordic Green Left,Vice-Chair
Philip BRADBOURN,United Kingdom,Conservative and Unionist Party,European Conservatives and Reformists Group,Substitute
Flavio TOSI,Italy,Lega Nord,Group of the European People's Party (Christian Democrats),Member
Carlos JIMÉNEZ VILLAREJO,Spain,PODEMOS,Confederal Group of the European United Left - Nordic Green Left,Member
Victor ABENS,Luxembourg,Parti ouvrier socialiste luxembourgeois,Socialist Group,Member
Luis Marco AGUIRIANO NALDA,Spain,Partido Socialista Obrero Español (Progresistas),Group of the Party of European Socialists,Substitute
Nuala AHERN,Ireland,Green Party,Group of the Greens/European Free Alliance,Member
Heinrich AIGNER,Germany,Christlich-Soziale Union in Bayern e.V.,Group of the European People's Party (Christian-Democratic Group),Substitute
Vincenzo AITA,Italy,Partito della Rifondazione Comunista - Sinistra Europea,Confederal Group of the European United Left - Nordic Green Left,Substitute
Jim ALLISTER,United Kingdom,Democratic Unionist Party (Northern Ireland),Non-attached Members,Member
Giuseppe AMADEI,Italy,Partito socialista democratico italiano,Socialist Group,Substitute
Ettore Giovanni ANDENNA,Italy,Partito socialista democratico italiano,Socialist Group,Substitute
Alfonso ANDRIA,Italy,Uniti nell'Ulivo,Group of the Alliance of Liberals and Democrats for Europe,Substitute
Magdeleine ANGLADE,France,Centre national des indépendents et paysans,Group of the European Democratic Alliance,Member
Aline ARCHIMBAUD,France,Les Verts-Europe-Ecologie,The Green Group in the European Parliament,Member
Stavros ARNAOUTAKIS,Greece,Panellinio Socialistiko Kinima,Socialist Group in the European Parliament,Substitute
Per-Arne ARVIDSSON,Sweden,Moderata samlingspartiet,Group of the European People's Party (Christian Democrats) and European Democrats,Member
Alexandru ATHANASIU,Romania,Partidul Social Democrat,Socialist Group in the European Parliament,Member
John ATTARD-MONTALTO,Malta,Partit Laburista,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Substitute
Monique BADÉNES,France,Union pour la démocratie française,Group of the European People's Party (Christian-Democratic Group),Substitute
Maria BADIA i CUTCHET,Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Member
Maria Fabrizia BADUEL GLORIOSO,Italy,Indipendenti di sinistra,Communist and Allies Group,Member
